DAY_OF_YEAR,NDSI actual,NDSI histórico
1,0.314,4.865
2,0.457,4.879
3,0.316,4.352
4,0.534,4.137
5,0.17,4.548
6,0.637,4.177
7,0.375,3.671
8,0.19,3.658
9,0.783,3.73
10,0.873,3.791
11,0.21,3.35
12,0.276,3.311
13,0.075,3.144
14,0.327,3.102
15,0.97,3.29
16,0.117,2.753
17,0.132,3.217
18,0.377,3.297
19,0.274,3.103
20,0.055,2.505
21,0.29,2.549
22,0.547,2.073
23,0.34,4.171
24,0.16,3.204
25,0.363,2.944
26,0.244,2.318
27,0.376,2.393
28,0.242,2.268
29,0.501,2.355
30,0.326,2.541
31,0.266,3.156
32,0.276,2.221
33,0.198,2.043
34,0.795,2.035
35,0.434,1.964
36,1.046,2.16
37,0.49,1.874
38,0.612,2.019
39,,2.18
40,,2.209
41,,2.349
42,,2.098
43,,1.703
44,,1.997
45,,1.535
46,,1.476
47,,2.003
48,,1.94
49,,1.83
50,,1.713
51,,1.524
52,,1.693
53,,1.621
54,,1.73
55,,1.664
56,,2.211
57,,1.907
58,,2.108
59,,2.386
60,,2.163
61,,2.247
62,,1.699
63,,2.211
64,,1.474
65,,1.561
66,,1.508
67,,1.973
68,,2.262
69,,1.68
70,,1.66
71,,1.593
72,,2.697
73,,2.12
74,,1.717
75,,1.498
76,,1.194
77,,1.684
78,,1.341
79,,1.314
80,,1.464
81,,1.5
82,,1.77
83,,2.245
84,,1.911
85,,1.352
86,,2.678
87,,3.22
88,,2.291
89,,2.521
90,,2.991
91,,2.621
92,,3.125
93,,2.929
94,,2.638
95,,2.535
96,,2.088
97,,2.866
98,,1.82
99,,1.942
100,,2.643
101,,3.032
102,,2.685
103,,1.994
104,,4.466
105,,4.933
106,,5.646
107,,4.349
108,,4.909
109,,6.281
110,,4.686
111,,3.992
112,,5.086
113,,5.25
114,,4.555
115,,8.302
116,,8.606
117,,8.067
118,,8.826
119,,8.425
120,,7.544
121,,10.397
122,,10.711
123,,10.465
124,,12.197
125,,11.691
126,,12.749
127,,10.066
128,,9.86
129,,8.239
130,,9.512
131,,8.429
132,,8.974
133,,9.451
134,,6.69
135,,11.319
136,,10.838
137,,11.562
138,,12.873
139,,19.633
140,,16.522
141,,21.471
142,,14.563
143,,19.583
144,,21.189
145,,20.705
146,,20.492
147,,17.948
148,,17.643
149,,26.307
150,,28.699
151,,27.393
152,,28.812
153,,26.516
154,,34.365
155,,29.11
156,,31.219
157,,35.293
158,,33.232
159,,31.301
160,,35.424
161,,35.617
162,,28.164
163,,33.613
164,,37.593
165,,37.644
166,,39.923
167,,40.108
168,,41.437
169,,42.842
170,,45.587
171,,40.351
172,,43.357
173,,43.071
174,,44.309
175,,40.997
176,,39.846
177,,37.619
178,,39.682
179,,39.289
180,,40.121
181,,43.205
182,,42.678
183,,41.528
184,,39.292
185,,38.244
186,,39.726
187,,41.484
188,,42.714
189,,42.514
190,,42.139
191,,42.129
192,,42.644
193,,39.666
194,,42.437
195,,43.732
196,,43.622
197,,44.439
198,,43.413
199,,43.749
200,,42.398
201,,43.851
202,,44.068
203,,43.787
204,,43.121
205,,42.992
206,,42.809
207,,44.081
208,,44.28
209,,45.125
210,,41.641
211,,41.31
212,,42.024
213,,39.909
214,,36.952
215,,38.899
216,,40.037
217,,38.333
218,,40.714
219,,41.154
220,,39.861
221,,40.333
222,,42.793
223,,40.801
224,,39.693
225,,38.877
226,,40.723
227,,38.117
228,,39.189
229,,40.293
230,,41.217
231,,41.507
232,,39.715
233,,39.304
234,,37.439
235,,36.545
236,,40.225
237,,39.315
238,,37.083
239,,36.73
240,,35.771
241,,37.854
242,,36.096
243,,38.293
244,,36.57
245,,35.08
246,,35.668
247,,34.426
248,,37.809
249,,37.124
250,,36.63
251,,34.946
252,,34.909
253,,34.709
254,,37.378
255,,37.195
256,,34.556
257,,36.068
258,,36.436
259,,34.74
260,,35.041
261,,34.724
262,,34.326
263,,34.35
264,,32.419
265,,32.208
266,,31.881
267,,31.891
268,,33.273
269,,32.511
270,,30.625
271,,32.158
272,,30.921
273,,34.581
274,,30.845
275,,30.442
276,,28.148
277,,28.207
278,,28.77
279,,28.943
280,,29.898
281,,28.661
282,,31.129
283,,30.208
284,,28.136
285,,29.045
286,,28.816
287,,30.608
288,,30.285
289,,27.717
290,,26.647
291,,25.143
292,,25.367
293,,24.561
294,,24.408
295,,26.808
296,,25.97
297,,23.456
298,,22.882
299,,24.02
300,,19.932
301,,25.412
302,,26.464
303,,23.661
304,,21.208
305,,21.302
306,,19.584
307,,21.647
308,,21.993
309,,20.354
310,,18.779
311,,19.379
312,,18.629
313,,18.268
314,,19.89
315,,19.51
316,,18.357
317,,18.654
318,,18.343
319,,17.835
320,,15.75
321,,15.221
322,,18.051
323,,17.326
324,,17.12
325,,15.566
326,,14.869
327,,14.549
328,,13.999
329,,15.04
330,,13.801
331,,12.629
332,,13.053
333,,12.151
334,,12.135
335,,11.354
336,,11.943
337,,10.725
338,,9.887
339,,10.218
340,,9.792
341,,9.487
342,,7.828
343,,8.872
344,,9.499
345,,11.524
346,,9.66
347,,6.725
348,,8.782
349,,6.476
350,,6.975
351,,7.356
352,,7.396
353,,7.702
354,,7.262
355,,5.517
356,,6.038
357,,5.819
358,,5.397
359,,5.976
360,,5.523
361,,5.354
362,,6.349
363,,5.016
364,,5.015
365,,4.875
