system:time_start,NDSI_Snow_Cover,Snow_Cover_Area,nodata_data
Feb 1, 2000,5.892,8.227,23.278
Mar 1, 2000,1.339,1.562,17.862
Apr 1, 2000,7.753,10.093,39.132
May 1, 2000,20.951,28.369,66.258
Jun 1, 2000,36.752,50.066,66.212
Jul 1, 2000,52.694,67.001,37.784
Aug 1, 2000,46.01,56.898,67.082
Sep 1, 2000,45.855,56.833,52.837
Oct 1, 2000,38.521,47.124,25.938
Nov 1, 2000,26.839,34.487,37.022
Dec 1, 2000,14,17.727,12.183
Jan 1, 2001,4.751,5.633,4.729
Feb 1, 2001,2.062,2.262,1.684
Mar 1, 2001,3.564,4.39,19.705
Apr 1, 2001,9.401,12.346,26.16
May 1, 2001,25.791,36.037,60.313
Jun 1, 2001,23.752,33.239,57.505
Jul 1, 2001,39.261,52.073,66.44
Aug 1, 2001,46.32,58.554,48.913
Sep 1, 2001,42.549,53.085,49.805
Oct 1, 2001,34.973,44.084,36.093
Nov 1, 2001,24.316,31.226,24.726
Dec 1, 2001,11.173,14.023,12.951
Jan 1, 2002,4.154,4.977,7.437
Feb 1, 2002,2.412,2.773,3.872
Mar 1, 2002,3.154,4.041,25.866
Apr 1, 2002,9.417,12.05,39.09
May 1, 2002,9.7,11.982,63.949
Jun 1, 2002,54.129,69.316,48.29
Jul 1, 2002,48.644,65.057,44.029
Aug 1, 2002,47.841,62.257,64.764
Sep 1, 2002,44.639,54.9,55.77
Oct 1, 2002,39.608,47.766,50.345
Nov 1, 2002,31.622,39.322,22.873
Dec 1, 2002,19.808,25.39,18.23
Jan 1, 2003,11.533,14.577,6.7
Feb 1, 2003,4.624,5.444,5.388
Mar 1, 2003,2.892,3.278,8.244
Apr 1, 2003,2.867,3.003,31.122
May 1, 2003,17.852,22.094,40.908
Jun 1, 2003,41.437,55.698,65.208
Jul 1, 2003,44.572,57.965,45.599
Aug 1, 2003,37.783,48.718,51.911
Sep 1, 2003,32.98,43.509,46.939
Oct 1, 2003,25.121,31.788,25.107
Nov 1, 2003,16.277,20.922,25.158
Dec 1, 2003,6.209,7.731,11.582
Jan 1, 2004,2.664,3.005,4.603
Feb 1, 2004,1.935,2.219,4.951
Mar 1, 2004,1.273,1.439,12.428
Apr 1, 2004,11.758,15.711,41.365
May 1, 2004,17.041,22.271,41.466
Jun 1, 2004,27.503,37.362,60.297
Jul 1, 2004,35.699,48.804,59.804
Aug 1, 2004,39.736,53.357,33.756
Sep 1, 2004,29.258,39.17,32.604
Oct 1, 2004,18.95,25.005,41.474
Nov 1, 2004,18.831,23.166,34.345
Dec 1, 2004,5.822,7.108,20.978
Jan 1, 2005,2.537,3.094,6.777
Feb 1, 2005,1.318,1.507,8.444
Mar 1, 2005,4.76,5.963,34.413
Apr 1, 2005,8.576,11.253,33.477
May 1, 2005,33.54,48.215,68.507
Jun 1, 2005,40.546,52.386,76.287
Jul 1, 2005,43.418,55.089,50.637
Aug 1, 2005,44.517,59.593,70.693
Sep 1, 2005,45.902,58.107,41.701
Oct 1, 2005,39.286,48.031,27.053
Nov 1, 2005,31.426,38.855,21.251
Dec 1, 2005,19.414,24.486,13.267
Jan 1, 2006,8.47,10.55,5.108
Feb 1, 2006,4.161,4.958,11.301
Mar 1, 2006,2.574,2.845,6.396
Apr 1, 2006,4.166,5.104,24.516
May 1, 2006,7.039,8.856,46.513
Jun 1, 2006,36.269,48.675,72.018
Jul 1, 2006,46.827,60.237,63.577
Aug 1, 2006,44.929,56.217,53.118
Sep 1, 2006,39.527,49.965,41.77
Oct 1, 2006,35.24,44.343,34.261
Nov 1, 2006,23.773,30.021,13.446
Dec 1, 2006,11.643,14.619,7.514
Jan 1, 2007,4.691,5.593,9.671
Feb 1, 2007,3.136,3.694,12.28
Mar 1, 2007,3.02,3.51,16.295
Apr 1, 2007,5.556,6.916,34.403
May 1, 2007,13.478,17.58,55.794
Jun 1, 2007,44.546,60.177,55.151
Jul 1, 2007,47.861,64.723,57.876
Aug 1, 2007,45.719,60.55,38.308
Sep 1, 2007,40.606,50.087,30.859
Oct 1, 2007,29.12,37.543,25.089
Nov 1, 2007,15.389,19.71,17.201
Dec 1, 2007,5.781,6.864,6.6
Jan 1, 2008,1.932,2.13,4.821
Feb 1, 2008,2.386,2.837,6.394
Mar 1, 2008,3.194,4.085,11.938
Apr 1, 2008,2.235,2.653,27.673
May 1, 2008,30.31,41.395,46.836
Jun 1, 2008,45.424,57.432,45.094
Jul 1, 2008,43.685,56.002,55.016
Aug 1, 2008,46.798,60.918,45.146
Sep 1, 2008,43.716,53.49,37.717
Oct 1, 2008,35.535,43.626,29.61
Nov 1, 2008,23.616,30.177,6.371
Dec 1, 2008,9.284,11.449,8.231
Jan 1, 2009,3.364,3.72,4.998
Feb 1, 2009,1.841,2.014,7.693
Mar 1, 2009,1.961,2.311,5.701
Apr 1, 2009,1.047,1.062,7.527
May 1, 2009,9.876,12.157,46.65
Jun 1, 2009,21.921,29.229,62.144
Jul 1, 2009,47.533,63.767,50.895
Aug 1, 2009,45.649,59.571,56.371
Sep 1, 2009,41.931,53.332,39.56
Oct 1, 2009,33.238,43.958,54.482
Nov 1, 2009,23.597,30.243,48.847
Dec 1, 2009,11.382,14.2,11.26
Jan 1, 2010,3.873,4.647,4.518
Feb 1, 2010,1.697,1.82,10.288
Mar 1, 2010,1.044,1.145,8.413
Apr 1, 2010,0.962,0.908,24.709
May 1, 2010,7.692,9.478,49.252
Jun 1, 2010,36.648,50.247,57.992
Jul 1, 2010,43.493,60.539,44.758
Aug 1, 2010,36.516,48.966,40.409
Sep 1, 2010,27.347,37.295,39.686
Oct 1, 2010,16.51,21.342,28.408
Nov 1, 2010,11.555,14.595,21.66
Dec 1, 2010,3.046,3.52,5.47
Jan 1, 2011,1.465,1.781,4.534
Feb 1, 2011,1.824,2.221,13.668
Mar 1, 2011,0.866,1.018,10.841
Apr 1, 2011,1.168,1.33,24.452
May 1, 2011,2.816,3.112,26.418
Jun 1, 2011,28.648,38.367,58.491
Jul 1, 2011,47.439,64.554,41.571
Aug 1, 2011,43.163,59.093,55.4
Sep 1, 2011,37.822,47.63,31.143
