DAY_OF_YEAR,NDSI actual,NDSI histórico
1,0.342,2.619
2,0.402,2.71
3,0.318,2.419
4,0.361,2.377
5,0.184,2.462
6,0.392,2.368
7,0.315,2.071
8,0.262,2.166
9,0.491,2.077
10,0.27,2.279
11,0.176,1.982
12,0.318,2.024
13,0.3,1.929
14,0.298,1.903
15,0.363,1.924
16,0.328,1.706
17,0.27,1.829
18,0.317,1.714
19,0.308,1.68
20,0.217,1.457
21,0.207,1.517
22,0.382,1.416
23,0.316,1.89
24,0.262,1.654
25,0.297,1.554
26,0.288,1.428
27,0.297,1.429
28,0.344,1.33
29,0.444,1.4
30,0.29,1.437
31,0.273,1.542
32,0.382,1.33
33,0.253,1.282
34,0.3,1.224
35,0.117,1.217
36,0.466,1.288
37,0.411,1.14
38,0.384,1.201
39,,1.179
40,,1.166
41,,1.196
42,,1.238
43,,1.122
44,,1.145
45,,0.958
46,,0.93
47,,1.048
48,,1.098
49,,1.14
50,,1.049
51,,0.96
52,,1.11
53,,0.998
54,,1.063
55,,1.035
56,,1.095
57,,1.066
58,,1.307
59,,1.402
60,,1.202
61,,1.16
62,,1.228
63,,1.159
64,,0.877
65,,0.914
66,,0.953
67,,1.061
68,,1.136
69,,1.014
70,,1.005
71,,0.987
72,,1.394
73,,1.074
74,,0.915
75,,1.032
76,,0.974
77,,1.188
78,,0.979
79,,1.029
80,,1.022
81,,1.083
82,,1.088
83,,1.284
84,,1.171
85,,1.024
86,,1.37
87,,1.497
88,,1.263
89,,1.396
90,,1.669
91,,1.707
92,,1.688
93,,1.699
94,,1.603
95,,1.53
96,,1.289
97,,1.614
98,,1.534
99,,1.479
100,,1.902
101,,1.75
102,,1.771
103,,1.793
104,,2.2
105,,2.552
106,,2.628
107,,2.574
108,,2.963
109,,2.743
110,,2.782
111,,2.178
112,,2.49
113,,3.173
114,,3.329
115,,4.461
116,,4.538
117,,4.392
118,,4.03
119,,4.178
120,,4.245
121,,5.913
122,,5.534
123,,5.943
124,,6.603
125,,6.229
126,,6.24
127,,5.775
128,,5.814
129,,5.422
130,,5.298
131,,5.409
132,,5.152
133,,4.98
134,,4.325
135,,6.284
136,,7.23
137,,6.287
138,,7.619
139,,9.647
140,,10.414
141,,12.783
142,,9.453
143,,10.861
144,,10.637
145,,10.288
146,,11.21
147,,10.492
148,,11.087
149,,14.926
150,,16.966
151,,15.837
152,,16.871
153,,15.067
154,,17.143
155,,16.548
156,,17.284
157,,18.102
158,,18.182
159,,17.094
160,,20.477
161,,20.244
162,,19.016
163,,21.36
164,,22.416
165,,23.311
166,,23.138
167,,23.311
168,,24.004
169,,25.134
170,,24.738
171,,23.616
172,,25.011
173,,24.948
174,,26.056
175,,24.53
176,,23.866
177,,23.753
178,,24.444
179,,23.655
180,,23.692
181,,25.289
182,,24.705
183,,22.952
184,,23.572
185,,22.455
186,,22.868
187,,23.119
188,,23.645
189,,23.965
190,,24.069
191,,24.127
192,,25.277
193,,24.784
194,,25.092
195,,25.939
196,,25.552
197,,26.36
198,,26.301
199,,26.115
200,,25.058
201,,26.005
202,,26.512
203,,26.368
204,,25.756
205,,26.049
206,,25.929
207,,26.177
208,,27.173
209,,26.412
210,,26.345
211,,24.659
212,,26.763
213,,23.884
214,,23.495
215,,24.435
216,,24.714
217,,23.183
218,,24.151
219,,24.407
220,,24.341
221,,23.77
222,,25.873
223,,24.911
224,,23.802
225,,23.556
226,,24.852
227,,23.391
228,,23.684
229,,24.452
230,,24.906
231,,24.275
232,,24.168
233,,23.759
234,,22.448
235,,22.242
236,,23.125
237,,23.157
238,,22.497
239,,22.106
240,,21.914
241,,21.965
242,,22.78
243,,23.654
244,,22.48
245,,21.031
246,,20.931
247,,20.779
248,,21.868
249,,21.955
250,,21.666
251,,20.774
252,,20.504
253,,20.679
254,,21.28
255,,21.397
256,,20.494
257,,20.447
258,,21.074
259,,19.81
260,,20.624
261,,19.958
262,,19.786
263,,20.023
264,,19.089
265,,18.415
266,,17.796
267,,17.884
268,,18.485
269,,18.178
270,,17.516
271,,18.127
272,,17.396
273,,19.535
274,,17.867
275,,17.58
276,,16.272
277,,15.202
278,,16.655
279,,16.405
280,,17.114
281,,16.372
282,,16.618
283,,17.023
284,,15.547
285,,16.132
286,,16.088
287,,16.494
288,,16.682
289,,15.435
290,,15.371
291,,14.191
292,,14.375
293,,14.11
294,,13.622
295,,14.112
296,,13.603
297,,12.901
298,,12.292
299,,12.765
300,,11.427
301,,12.984
302,,13.084
303,,12.846
304,,12.421
305,,12.171
306,,11.259
307,,11.229
308,,11.272
309,,10.731
310,,10.077
311,,10.898
312,,10.09
313,,9.754
314,,10.557
315,,10.343
316,,9.685
317,,9.744
318,,9.409
319,,9.669
320,,8.488
321,,8.34
322,,8.874
323,,8.533
324,,8.282
325,,8.283
326,,7.677
327,,6.813
328,,7.443
329,,7.668
330,,6.696
331,,6.653
332,,6.472
333,,6.255
334,,6.342
335,,6.111
336,,6.52
337,,5.961
338,,5.392
339,,5.435
340,,5.169
341,,4.971
342,,4.725
343,,5.172
344,,5.201
345,,5.803
346,,5.004
347,,4.253
348,,4.62
349,,3.399
350,,3.898
351,,3.74
352,,4.006
353,,3.998
354,,3.746
355,,3.023
356,,3.647
357,,3.597
358,,3.266
359,,3.475
360,,3.197
361,,3.142
362,,3.157
363,,2.92
364,,2.869
365,,2.75
