system:time_start,NDSI_Snow_Cover,Snow_Cover_Area,nodata_data
"Jan 1, 2000",25.334,32.137,40.77
"Jan 1, 2001",18.209,23.241,32.873
"Jan 1, 2002",23.238,29.503,37.773
"Jan 1, 2003",17.331,22.225,30.907
"Jan 1, 2004",14.889,19.581,32.518
"Jan 1, 2005",22.093,28.068,38.13
"Jan 1, 2006",17.829,22.539,31.539
"Jan 1, 2007",18.577,23.991,30.053
"Jan 1, 2008",20.693,26.211,27.441
"Jan 1, 2009",15.735,20.266,33.057
"Jan 1, 2010",12.59,16.68,28.033
"Jan 1, 2011",14.178,18.534,25.671
"Jan 1, 2012",13.56,17.88,29.784
"Jan 1, 2013",14.605,19.324,29.198
"Jan 1, 2014",12.728,16.779,31.383
"Jan 1, 2015",13.689,17.367,37.998
"Jan 1, 2016",20.212,25.702,37.402
"Jan 1, 2017",14.06,18.593,33.705
"Jan 1, 2018",12.502,16.718,29.927
"Jan 1, 2019",6.277,8.202,31.121
"Jan 1, 2020",11.473,14.873,24.999
